id,submission_time,vote_number,question_id,message,image
0,1493398154,4,0,You need to use brackets: my_list = [],
1,1493088154,35,0,Look it up in the Python docs,
2,1234567898,,0,dhjdfthdrfhb,
3,1234567898,,0,Tada,
4,1513261455.329284,0,11,"Az első sor leírja mi ez. Segítek, ""<html>"". Programozás, konkrétabban a programnyelv leírva. <title>Kezdőlap<title> azt hiszem a lap nevét adja meg. A <body> sortól kezdve adhatod meg az oldal felépítését. Az az alatti sor a betűtípust adja meg és az azzal kapcsolatos vizuális beállításokat. Pl. <h1> az a szövegtípus. A <center> meg, hogy hol helyezkedjen el az adott bekezdés sora, közép, balra-jobbra zárt. Ha már itt tartunk, az <a> egy különálló sort hivatott jelölni amit a </a> zár. Ha meg új sort akarsz megint <a>. Igazából nem részletezném tovább, ha ez érdekel téged olvasgass utána. Nem bonyolult. Én pl alig foglalkoztam vele emelt infón. Nem azért, mert bactam rá csak nem öltünk bele amúgy a tanárral nagyobb energiát. ÉÉÉS mégis megmaradt :)
",
5,1513261466.5427604,0,11,"Az első sor leírja mi ez. Segítek, ""<html>"". Programozás, konkrétabban a programnyelv leírva. <title>Kezdőlap<title> azt hiszem a lap nevét adja meg. A <body> sortól kezdve adhatod meg az oldal felépítését. Az az alatti sor a betűtípust adja meg és az azzal kapcsolatos vizuális beállításokat. Pl. <h1> az a szövegtípus. A <center> meg, hogy hol helyezkedjen el az adott bekezdés sora, közép, balra-jobbra zárt. Ha már itt tartunk, az <a> egy különálló sort hivatott jelölni amit a </a> zár. Ha meg új sort akarsz megint <a>. Igazából nem részletezném tovább, ha ez érdekel téged olvasgass utána. Nem bonyolult. Én pl alig foglalkoztam vele emelt infón. Nem azért, mert bactam rá csak nem öltünk bele amúgy a tanárral nagyobb energiát. ÉÉÉS mégis megmaradt :)
",
6,1513261529.437269,0,9,"Vivamus venenatis sodales turpis, id posuere neque consequat scelerisque. Fusce odio enim, porttitor et iaculis in, vulputate ac tellus. Donec congue nunc bibendum, euismod massa at, commodo nulla. Fusce maximus pulvinar dapibus. Curabitur sodales auctor fringilla. Fusce vulputate eros tellus, sit amet cursus libero facilisis mollis. Phasellus imperdiet auctor leo ac malesuada. Donec facilisis leo enim, quis dignissim sem suscipit ultricies. Curabitur sollicitudin posuere suscipit. Donec nulla enim, lacinia eu leo a, ultrices rhoncus ligula. Nullam posuere posuere lacus, ut condimentum elit pharetra non. Nam vulputate volutpat leo, vestibulum interdum orci ullamcorper non. Donec blandit sit amet magna egestas placerat. Mauris quis dui et ante dapibus ultricies. Etiam consequat finibus magna nec rutrum. Vivamus semper dignissim odio ac tincidunt.",
7,1513261532.8170886,0,9,"Vivamus venenatis sodales turpis, id posuere neque consequat scelerisque. Fusce odio enim, porttitor et iaculis in, vulputate ac tellus. Donec congue nunc bibendum, euismod massa at, commodo nulla. Fusce maximus pulvinar dapibus. Curabitur sodales auctor fringilla. Fusce vulputate eros tellus, sit amet cursus libero facilisis mollis. Phasellus imperdiet auctor leo ac malesuada. Donec facilisis leo enim, quis dignissim sem suscipit ultricies. Curabitur sollicitudin posuere suscipit. Donec nulla enim, lacinia eu leo a, ultrices rhoncus ligula. Nullam posuere posuere lacus, ut condimentum elit pharetra non. Nam vulputate volutpat leo, vestibulum interdum orci ullamcorper non. Donec blandit sit amet magna egestas placerat. Mauris quis dui et ante dapibus ultricies. Etiam consequat finibus magna nec rutrum. Vivamus semper dignissim odio ac tincidunt.",
8,1513261536.6041098,0,9,"Vivamus venenatis sodales turpis, id posuere neque consequat scelerisque. Fusce odio enim, porttitor et iaculis in, vulputate ac tellus. Donec congue nunc bibendum, euismod massa at, commodo nulla. Fusce maximus pulvinar dapibus. Curabitur sodales auctor fringilla. Fusce vulputate eros tellus, sit amet cursus libero facilisis mollis. Phasellus imperdiet auctor leo ac malesuada. Donec facilisis leo enim, quis dignissim sem suscipit ultricies. Curabitur sollicitudin posuere suscipit. Donec nulla enim, lacinia eu leo a, ultrices rhoncus ligula. Nullam posuere posuere lacus, ut condimentum elit pharetra non. Nam vulputate volutpat leo, vestibulum interdum orci ullamcorper non. Donec blandit sit amet magna egestas placerat. Mauris quis dui et ante dapibus ultricies. Etiam consequat finibus magna nec rutrum. Vivamus semper dignissim odio ac tincidunt.",
9,1513261608.7021942,12,1,"Vivamus venenatis sodales turpis, id posuere neque consequat scelerisque. Fusce odio enim, porttitor et iaculis in, vulputate ac tellus. Donec congue nunc bibendum, euismod massa at, commodo nulla. Fusce maximus pulvinar dapibus. Curabitur sodales auctor fringilla. Fusce vulputate eros tellus, sit amet cursus libero facilisis mollis. Phasellus imperdiet auctor leo ac malesuada. Donec facilisis leo enim, quis dignissim sem suscipit ultricies. Curabitur sollicitudin posuere suscipit. Donec nulla enim, lacinia eu leo a, ultrices rhoncus ligula. Nullam posuere posuere lacus, ut condimentum elit pharetra non. Nam vulputate volutpat leo, vestibulum interdum orci ullamcorper non. Donec blandit sit amet magna egestas placerat. Mauris quis dui et ante dapibus ultricies. Etiam consequat finibus magna nec rutrum. Vivamus semper dignissim odio ac tincidunt.",
10,1513261630.126933,0,1,"Vivamus venenatis sodales turpis, id posuere neque consequat scelerisque. Fusce odio enim, porttitor et iaculis in, vulputate ac tellus. Donec congue nunc bibendum, euismod massa at, commodo nulla. Fusce maximus pulvinar dapibus. Curabitur sodales auctor fringilla. Fusce vulputate eros tellus, sit amet cursus libero facilisis mollis. Phasellus imperdiet auctor leo ac malesuada. Donec facilisis leo enim, quis dignissim sem suscipit ultricies. Curabitur sollicitudin posuere suscipit. Donec nulla enim, lacinia eu leo a, ultrices rhoncus ligula. Nullam posuere posuere lacus, ut condimentum elit pharetra non. Nam vulputate volutpat leo, vestibulum interdum orci ullamcorper non. Donec blandit sit amet magna egestas placerat. Mauris quis dui et ante dapibus ultricies. Etiam consequat finibus magna nec rutrum. Vivamus semper dignissim odio ac tincidunt.",
11,1513261642.1832738,0,1,"Vivamus venenatis sodales turpis, id posuere neque consequat scelerisque. Fusce odio enim, porttitor et iaculis in, vulputate ac tellus. Donec congue nunc bibendum, euismod massa at, commodo nulla. Fusce maximus pulvinar dapibus. Curabitur sodales auctor fringilla. Fusce vulputate eros tellus, sit amet cursus libero facilisis mollis. Phasellus imperdiet auctor leo ac malesuada. Donec facilisis leo enim, quis dignissim sem suscipit ultricies. Curabitur sollicitudin posuere suscipit. Donec nulla enim, lacinia eu leo a, ultrices rhoncus ligula. Nullam posuere posuere lacus, ut condimentum elit pharetra non. Nam vulputate volutpat leo, vestibulum interdum orci ullamcorper non. Donec blandit sit amet magna egestas placerat. Mauris quis dui et ante dapibus ultricies. Etiam consequat finibus magna nec rutrum. Vivamus semper dignissim odio ac tincidunt.",
12,1513269624.8360128,0,10,QF Wwwwwwwwwwwwwwwwwwwwwwwww,
